id,opis,oczekiwane,kategoria_modelu,wyjasnienie_pierwotne,analiza_logiki,ocena_jakosci,auto_krytyka,cytaty_z_odpowiedzi
88,Delikatny ból gardła po rozmowie na zimnie.,RACZEJ BŁAHE,DO OBSERWACJI,"Delikatny ból gardła jest częstym objawem przeziębienia, który zazwyczaj ustępuje samoistnie w ciągu kilku dni.","Odpowiedź zakłada, że delikatny ból gardła jest powszechnym objawem przeziębienia, a przeziębienie zazwyczaj mija samoistnie w ciągu kilku dni. Wynika to z prostej skojarzenia bólu gardła z chorobami wirusowymi.",60,"Możliwe pomylenie z innymi schorzeniami wywołującymi ból gardła, np. anginą bakteryjną lub alergią. Brak informacji o innych objawach pacjenta.","['Delikatny ból gardła jest częstym objawem przeziębienia', 'który zazwyczaj ustępuje samoistnie w ciągu kilku dni.']"
89,Przemijające zawroty głowy po szybkim wstaniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Zawroty głowy po zmianie pozycji mogą być spowodowane niedociśnieniem, co jest częstym i zazwyczaj łagodnym problemem.","Odpowiedź zakłada, że przemijające zawroty głowy po szybkim wstaniu są prawdopodobnie spowodowane niedociśnieniem. Logika opiera się na częstotliwości występowania tego problemu jako łagodnego objawu.",70,"Możliwe pomylenie z innymi przyczynami zawrotów głowy, takimi jak zaburzenia wewnątrznaczyniowe lub problemy z równowagą. Brak informacji o innych objawach pacjenta.",['Przemijające zawroty głowy po szybkim wstaniu.']
90,Niewielki ból stawu po zmianie pogody.,RACZEJ BŁAHE,DO OBSERWACJI,"Niewielki ból stawu jest częstym objawem, zwłaszcza przy zmianach pogody. Nie wskazuje na poważny stan zdrowia.","Odpowiedź zakłada, że niewielki ból stawu jest częstym objawem, szczególnie przy zmianach pogody. Na tej podstawie wnioskuje, że nie wskazuje to na poważny stan zdrowia.",70,"Możliwe pominięcie innych przyczyn bólu stawu, które mogą wymagać większej uwagi. Brak informacji o historii choroby pacjenta i indywidualnych czynnikach ryzyka.","['Niewielki ból stawu jest częstym objawem', 'zwłaszcza przy zmianach pogody']"
91,Lekki ból brzucha po stresie.,RACZEJ BŁAHE,DO OBSERWACJI,Lekki ból brzucha może być spowodowany stresem i zazwyczaj ustępuje samoczynnie. Warto jednak obserwować ewentualne zmiany.,"Odpowiedź zakłada, że ból brzucha pacjenta jest spowodowany stresem na podstawie wyrażenia ""po stresie"". Następnie sugeruje obserwację ewentualnych zmian w bólu jako sposób radzenia sobie z dolegliwością.",70,Możliwe pomylenie z innymi przyczynami bólu brzucha. Nie uwzględniono innych potencjalnych przyczyn lub konieczności konsultacji lekarskiej w przypadku nasilenia się bólu.,['Lekki ból brzucha może być spowodowany stresem']
92,Zmęczenie po długim dniu.,RACZEJ BŁAHE,RACZEJ BŁAHE,Zmęczenie po długim dniu jest normalnym odczuciem i zazwyczaj nie wymaga żadnej interwencji medycznej.,"Odpowiedź zakłada, że zmęczenie wynikające z intensywnego dnia jest powszechnym doświadczeniem i nie wymaga medycznej ingerencji.",60,"Możliwe pomylenie z poważniejszym schorzeniem powodującym zmęczenie. Nie uwzględniono innych potencjalnych przyczyn zmęczenia, takich jak choroby przewlekłe lub niedobory witamin.",['Zmęczenie po długim dniu jest normalnym odczuciem']
93,Chwilowy dyskomfort w klatce piersiowej przy zdenerwowaniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Objaw może wskazywać na stres lub napięcie mięśniowe, nie jest to typowy objaw poważnej choroby serca.","Odpowiedź zakłada, że objaw 'chwilowego dyskomfortu w klatce piersiowej przy zdenerwowaniu' jest powiązany ze stresem lub napięciem mięśniowym. Logika opiera się na powszechnym postrzeganiu stresu jako czynnika powodującego napięcie mięśniowe, a tym samym potencjalne dolegliwości bólowe.",70,"Możliwe pomylenie z prawdziwymi objawami choroby serca. Brak weryfikacji czy pacjent odczuwa inne symptomy  takie jak duszność, ból promieniujący do ramienia lub poty.",['Chwilowy dyskomfort w klatce piersiowej przy zdenerwowaniu.']
94,Ból karku po pracy przy komputerze.,RACZEJ BŁAHE,DO OBSERWACJI,"Ból karku po pracy przy komputerze jest częstym problemem, który zazwyczaj ustępuje samodzielnie. ","Odpowiedź zakłada, że ból karku po pracy przy komputerze jest powszechnym problemem, który zwykle ustępuje bez specjalistycznego leczenia.",60,"Możliwe pominięcie poważnych przyczyn bólu karku, które wymagają dalszego badania i leczenia. Nie biorąc pod uwagę wieku pacjenta, historii chorób czy innych potencjalnych czynników ryzyka.",['Ból karku po pracy przy komputerze jest częstym problemem']
95,Jednorazowe uczucie nudności bez innych objawów.,RACZEJ BŁAHE,RACZEJ BŁAHE,Jednorazowe nudności nie wskazują na poważne zagrożenie zdrowia. Prawdopodobnie są spowodowane czynnikami przejściowymi.,"Odpowiedź zakłada, że jednorazowe nudności nie są powodem do niepokoju ze względu na ich przejściowy charakter. Użyto argumentu, że pojedynczy incydent nie wskazuje na poważne zagrożenie zdrowia.",70,Możliwe pomylenie z przypadkami nudności będących objawem poważniejszego schorzenia. Należy zbadać szczegółowy przebieg zdarzeń i inne potencjalne czynniki wpływające na wystąpienie nudności.,['Jednorazowe uczucie nudności bez innych objawów.']
96,Lekki świąd skóry bez zmian widocznych.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Lekki świąd skóry bez innych objawów wskazuje na dolegliwości kosmetyczne lub chwilowe, nie wymagające natychmiastowej interwencji.","Odpowiedź zakłada, że lekki świąd skóry bez innych objawów jest wskaźnikiem dolegliwości kosmetycznych lub chwilowych, nie wymagających natychmiastowej interwencji. Logika opiera się na założeniu, że małe dokuczliwe objawy zazwyczaj nie są poważne i ustępują same z siebie.",70,"Możliwe pomylenie z stanami zapalnymi skóry lub alergią, które mogą początkowo objawiać się jedynie świądem bez widocznych zmian. Zalecenia powinny uwzględniać konsultację lekarską w przypadku utrzymywania się świadu.","['lekki świąd skóry', 'bez innych objawów']"
97,Uczucie zimnych dłoni w chłodnym otoczeniu.,RACZEJ BŁAHE,RACZEJ BŁAHE,Uczucia zimna w dłoniach w chłodnym otoczeniu są normalne i nie wskazują na poważne problemy zdrowotne.,"Odpowiedź zakłada, że uczucie zimna w dłoniach jest naturalną reakcją na chłodne środowisko i nie wymaga dalszej analizy.",60,"Możliwe pomylenie z innymi schorzeniami powodującymi zimne dłonie, np. niedokrwistością lub zaburzeniami krążenia.",['Uczucia zimna w dłoniach w chłodnym otoczeniu są normalne ']
98,Chwilowe mrowienie ręki po ucisku.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Mrowienie ręki po ucisku jest objawem zazwyczaj łagodnym i przejściowym, związanym z naciskiem na nerw.","Odpowiedź zakłada, że krótkotrwałe mrowienie ręki po nacisku jest zjawiskiem powszechnym i niegroźnym wynikającym z uciśnięcia nerwów.",70,"Mimo że mrowienie po ucisku często jest łagodne,  istnieje ryzyko innych przyczyn. Brak informacji o częstotliwości, intensywności i lokalizacji mrowienia uniemożliwia pełną diagnozę.",['Chwilowe mrowienie ręki po ucisku.']
99,Niewielkie napięcie mięśni szyi.,RACZEJ BŁAHE,DO OBSERWACJI,"Lekkie napięcie mięśń szyi nie wskazuje na poważny stan zdrowia. Warto obserwować, czy objawy się nasilą.","Odpowiedź zakłada, że 'lekki nacisk na mięśnie szyi' jest objawem niegroźnym. Używa tego założenia, aby zalecić obserwację sytuacji.",60,"Możliwe pomylenie z poważniejszymi schorzeniami powodującymi napięcie mięśni szyi, np. stan zapalny kręgosłupa lub guzy. Brak szczegółowej historii medycznej pacjenta.",['Niewielkie napięcie mięśń szyi']
100,Krótkotrwały ból ucha po zmianie ciśnienia.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Ból ucha po zmianie ciśnienia jest częstym i krótkotrwałym problemem, który zazwyczaj ustępuje samoczynnie.","Odpowiedź zakłada, że krótkotrwałość bólu jest wystarczającym argumentem do stwierdzenia, że problem zniknie samoczynnie.",60,"Brak wzmianki o potencjalnych poważniejszych przyczynach bólu ucha, wymaga analizy historii pacjenta i dalszych badań w razie potrzeby.","['Ból ucha po zmianie ciśnienia jest częstym i krótkotrwałym problemem', 'który zazwyczaj ustępuje samoczynnie.']"
